区域,小区名称,面积(㎡),户型,价格(元/月)
江岸,东方华府,130,3室2厅2卫,2600
江岸,凯信大厦,45,1室1厅1卫,1355
江岸,新地盛世东方,100,2室2厅2卫,3000
江岸,幸福时代四期,50,1室1厅1卫,1500
江岸,新地盛世东方,100,2室2厅1卫,2600
江岸,汉口城市广场SOHO,45,1室1厅1卫,1600
江岸,统建同安家园,80,2室1厅1卫,2400
江岸,新地盛世东方,98,2室2厅1卫,3000
江岸,统建同安家园,95,2室2厅1卫,2300
江岸,统建同安家园,92,2室2厅1卫,2300
江岸,二七新江岸生活广场,80,2室1厅1卫,2300
江岸,塔子湖锦绣家园馨竹苑,95,3室1厅1卫,2375
江岸,银泰御华园一期,94,2室2厅1卫,2600
江岸,东方花都F区,85,2室2厅1卫,2500
江岸,新地盛世东方,131,3室2厅1卫,2600
江岸,海赋江城天韵,109,4室2厅1卫,3500
江岸,幸福时代,85,2室2厅1卫,2000
江岸,海赋江城天韵,89,2室2厅1卫,2400
江岸,凯信大厦,45,1室1厅1卫,1355
江岸,统建同安家园,81,2室1厅1卫,2200
江岸,幸福时代三期,86,2室2厅1卫,2000
江岸,东方明珠,83,3室2厅1卫,2500
江岸,鼎盛华城,80,2室2厅1卫,2800
江岸,百胜春天,114,3室2厅1卫,2200
江岸,银泰御华园三期,45,1室1厅1卫,2200
江岸,阳光城央座,43,1室0厅1卫,2200
江岸,王府花园,170,2室4厅2卫,1200
江岸,百步龙庭,99,2室2厅1卫,2300
江岸,银泰御华园一期,75,2室2厅1卫,2300
江岸,新地东方广场,47,1室1厅1卫,2200
江岸,石桥花园,19,1室0厅1卫,600
江岸,东方华府,124,3室2厅2卫,2800
江岸,东方华府,125,3室2厅2卫,3500
江岸,石桥花园,26,1室0厅1卫,1000
江岸,鼎盛华城,132,3室2厅2卫,3000
江岸,石桥花园,28,1室0厅1卫,650
江岸,海赋江城天韵,95,3室2厅1卫,3000
江岸,鼎盛华城,112,3室2厅2卫,2700
江岸,二七国际,101,1室0厅1卫,1200
江岸,石桥花园,28,1室0厅1卫,650
江岸,东方花都F区,87,2室2厅1卫,2400
江岸,石桥花园,26,1室0厅1卫,700
江岸,航天双城,39,1室1厅1卫,2200
江岸,石桥花园,26,1室0厅1卫,1000
江岸,鼎盛华城,132,3室2厅2卫,3000
江岸,百步亭花园世博园,41,1室1厅1卫,2300
江岸,鼎盛华城,87,3室2厅1卫,2700
江岸,长江委协昌里小区,94,3室1厅1卫,2200
江岸,银泰御华园一期,44,1室1厅1卫,2300
江岸,石桥花园,28,1室0厅1卫,830
江岸,新地盛世东方,87,2室2厅1卫,2800
江岸,石桥花园,25,1室0厅1卫,580
江岸,海赋江城天韵,106,3室2厅1卫,2800
江岸,幸福时代,57,1室1厅1卫,2200
江岸,海赋江城天韵,95,3室2厅1卫,3300
江岸,鼎盛华城,90,3室1厅2卫,2800
